Batter,BatterTeam,BatterSide,ExitSpeed,Angle,Direction,Bearing,Distance,HitType
Paul Toetz,Joliet Slammers,Right,100.43,1.02,-16.12,-18.76,50.73,GroundBall
Paul Toetz,Joliet Slammers,Right,100.35,-4.06,-32.26,-34.65,58.64,GroundBall
Paul Toetz,Joliet Slammers,Right,100.3,20.6,20.71,38.21,284.78,LineDrive
Paul Toetz,Joliet Slammers,Right,100.23,27.24,22.62,41.98,321.69,GroundBall
Paul Toetz,Joliet Slammers,Right,100.07,-15.16,9.32,13.8,8.67,GroundBall
Paul Toetz,Joliet Slammers,Right,100,20.03,11.12,21.46,316.82,LineDrive
Paul Toetz,Joliet Slammers,Right,99.9,-1.79,-13.25,-13.28,34.91,GroundBall
Paul Toetz,Joliet Slammers,Right,99.75,6.55,-29.64,-31.62,106.4,GroundBall
Paul Toetz,Joliet Slammers,Right,98.68,-5.07,-22.12,-22.63,19.21,GroundBall
Paul Toetz,Joliet Slammers,Right,98.42,16.75,-25.67,-33.3,222.74,LineDrive
Paul Toetz,Joliet Slammers,Right,98.38,4.69,13.76,16.72,100.18,GroundBall
Paul Toetz,Joliet Slammers,Right,98.27,31.1,-14.57,-12.92,390.96,FlyBall
Paul Toetz,Joliet Slammers,Right,98,4.89,-38.72,-40.04,88.36,LineDrive
Paul Toetz,Joliet Slammers,Right,97.94,24.12,24.14,37.56,351.94,GroundBall
Paul Toetz,Joliet Slammers,Right,97.81,10.39,-14.36,-12.88,163.58,LineDrive
Paul Toetz,Joliet Slammers,Right,97.43,-12.55,-31.81,-30.29,13.75,GroundBall
Paul Toetz,Joliet Slammers,Right,97.28,5.33,-4.87,-4.55,92.85,GroundBall
Paul Toetz,Joliet Slammers,Right,97.17,17.12,-30.76,-37.68,238.17,LineDrive
Paul Toetz,Joliet Slammers,Right,97.17,20.21,1.4,13.1,336.32,FlyBall
Paul Toetz,Joliet Slammers,Right,97.04,-7.41,-4.57,-5.7,18.83,GroundBall
Paul Toetz,Joliet Slammers,Right,96.98,16.19,26.41,37.73,294.42,LineDrive
Paul Toetz,Joliet Slammers,Right,96.55,-10.7,12.92,10.03,11.38,GroundBall
Paul Toetz,Joliet Slammers,Right,96.36,34.77,27.4,41.62,359.44,GroundBall
Paul Toetz,Joliet Slammers,Right,96.21,34.42,22.73,36.65,334.8,FlyBall
Paul Toetz,Joliet Slammers,Right,96.12,19.72,14.77,28.79,308.51,FlyBall
Paul Toetz,Joliet Slammers,Right,96.1,1.14,24.35,26.32,55.39,GroundBall
Paul Toetz,Joliet Slammers,Right,95.44,16.91,29.61,41.21,295.51,LineDrive
Paul Toetz,Joliet Slammers,Right,95.24,32.88,-30.03,-35.22,378.04,FlyBall
Paul Toetz,Joliet Slammers,Right,94.92,43.28,-7.75,0.35,303.83,FlyBall
Paul Toetz,Joliet Slammers,Right,94.79,-20.94,-11.45,-5.17,6.5,GroundBall
Paul Toetz,Joliet Slammers,Right,94.52,-7.22,4.05,7.01,16.41,GroundBall
Paul Toetz,Joliet Slammers,Right,94.2,41.15,7.76,18.46,334.23,FlyBall
Paul Toetz,Joliet Slammers,Right,94.12,-11.98,7.86,10.36,12.25,GroundBall
Paul Toetz,Joliet Slammers,Right,94.12,-11.98,-7.86,-10.36,25.5,GroundBall
Paul Toetz,Joliet Slammers,Right,93.99,11.56,-10.52,-9.31,238.17,LineDrive
